Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
AMPD2	20.14043616	13.03469608	19.77190065	15.52391798	20.12718334	18.0592346	11.94601673	20.417333	21.04118757	14.86884342
LINC02273	3.552668098	5.004059249	3.533759782	5.26506599	4.363428325	3.423730772	4.534201476	3.732338449	3.781515841	4.963703565
AFTPH	11.13260548	11.12104283	10.9553676	11.61211588	10.57325354	11.25801015	12.66064168	9.588036225	10.94403534	11.259366
LRRN1	2.027100491	1.822495575	1.965458842	1.647144446	2.097310445	2.130036972	1.897682844	2.436391508	2.100105028	1.777089247
SMG1P6	1.345864382	1.248586245	1.301086299	1.373157962	1.492510105	1.514900163	1.488720244	1.065241483	1.443468327	1.157875236
QRICH2	3.354122534	0.855905764	3.175020737	1.521366462	3.537976311	2.847939469	0.734356819	3.128216612	3.506867046	1.552302092
CHM	6.491709362	4.426054831	6.292224529	6.256740298	6.244740255	6.813192518	5.245748993	5.911411114	6.092314065	5.553914508
MRPL48	13.02957147	9.634644861	13.82635044	13.34837662	13.61130512	12.98286911	9.760794215	14.69335798	12.99484828	12.61420156
AC068620.1	0.890965282	1.335059849	0.944527475	1.216893105	1.243654388	1.30424718	1.532377948	0.788784596	0.792298646	0.625676507
SNHG16	73.04794712	24.59625878	73.25852239	50.9416478	65.76893195	71.69809903	26.0481391	65.74934885	67.02508673	50.53751508
GPX1P1	6.947960946	3.799280712	6.473955953	4.647437259	7.088540282	5.692630018	3.439722494	8.89618862	7.985148503	3.823234498
ULK3	20.02300808	21.53442035	19.92926063	19.52823574	21.34969367	18.64952663	19.59498226	21.58307107	21.1880638	20.84765889
LRRC10B	3.114453531	4.368151148	2.942983642	3.503448203	3.563090768	2.563238323	3.639068134	3.419016368	3.340251131	3.645185818
AL031777.2	1.132474747	1.406453336	1.141771499	1.056836723	1.122926646	1.109871592	1.556315085	1.029785515	1.117234809	1.314226432
STMP1	24.88429951	19.70373656	24.10032636	22.40827147	22.18032645	24.11028899	22.58671902	23.37102412	22.57344332	21.30004567
PHLDB2	1.461338389	1.711263009	1.473231034	1.358430945	1.671730413	1.613910545	1.488598136	1.57735509	1.690074984	1.18462506
IQCH-AS1	1.215236585	0.341276849	1.129065783	0.916146741	1.022481999	1.33120268	0.436135314	1.247521864	1.235197382	0.834217217
