HomHumanSymbol	MouseSymbol
VWA7	Vwa7
TINAG	Tinag
DAD1	Dad1
UBAP2L	Ubap2l
EMILIN2	Emilin2
TINAGL1	Tinagl1
HAPLN4	Hapln4
ZMYM4	Zmym4
MEGF11	Megf11
TMEM64	Tmem64
NGRN	Ngrn
LMF2	Lmf2
RNF115	Rnf115
SAMD12	Samd12
NRXN2	Nrxn2
CEP104	Cep104
CDHR2	Cdhr2
DOCK11	Dock11
MBD5	Mbd5
HCN3	Hcn3
UBAP2	Ubap2
ZNF516	Zfp516
CIAO3	Ciao3
HECW1	Hecw1
LMAN2	Lman2
IKBKE	Ikbke
CFAP45	Cfap45
ATG16L2	Atg16l2
TBL1X	Tbl1x
TBL1Y	Tbl1x
OXNAD1	Oxnad1
SOS1	Sos1
KCNH8	Kcnh8
KAT2B	Kat2b
CD200R1	Cd200r4
CD200R1L	Cd200r4
CD200R1	Cd200r1l
CD200R1	Cd200r2
CD200R1L	Cd200r2
CD200R1	Cd200r3
CD200R1L	Cd200r3
CD200R1	Cd200r1
CD200R1L	Cd200r1
P3H3	P3h3
NSUN4	Nsun4
FSD1	Fsd1
MAP7D1	Map7d1
MAGIX	Magix
IKBKG	Ikbkg
RECK	Reck
CCDC126	Ccdc126
SEC24D	Sec24d
TATDN2	Tatdn2
AMIGO1	Amigo1
MED10	Med10
C15orf40	3110040N11Rik
NXPH2	Nxph2
CELSR2	Celsr2
HEPACAM2	Hepacam2
FZD3	Fzd3
BBC3	Bbc3
SACM1L	Sacm1l
PARG	Parg
COL8A1	Col8a1
DGKB	Dgkb
TUFT1	Tuft1
DYTN	Dytn
ZNF865	Zfp865
RBM45	Rbm45
FGFR1	Fgfr1
CELSR3	Celsr3
ANKIB1	Ankib1
LPIN2	Lpin2
FSTL4	Fstl4
ARSG	Arsg
FSTL5	Fstl5
ETV6	Etv6
EPS8L2	Eps8l2
HS3ST2	Hs3st2
KCTD3	Kctd3
HS3ST3B1	Hs3st3b1
HS3ST1	Hs3st1
DENND1B	Dennd1b
NR0B1	Nr0b1
ATXN10	Atxn10
NRXN3	Nrxn3
ENSA	Ensa
NRXN1	Nrxn1
PTPN23	Ptpn23
KCNMA1	Kcnma1
RPAIN	Rpain
HS3ST4	Hs3st4
KALRN	Kalrn
NCAPH	Ncaph
FUT10	Fut10
CACNB4	Cacnb4
PDE8A	Pde8a
PCTP	Pctp
FBXO8	Fbxo8
RABEP2	Rabep2
LDAH	Ldah
CDK15	Cdk15
ASB11	Asb11
PLEKHM2	Plekhm2
CFAP36	Cfap36
TNFRSF9	Tnfrsf9
EIF4G1	Eif4g1
GPATCH3	Gpatch3
THRSP	Thrsp
NLRP4	Nlrp4c
E2F3	E2f3
GPR160	Gpr160
KNSTRN	Knstrn
SPMAP2	Spmap2
THEM5	Them5
TOP6BL	Top6bl
FGF16	Fgf16
THEM4	Them4
CCL20	Ccl20
CCDC93	Ccdc93
OGG1	Ogg1
VPS54	Vps54
PIAS2	Pias2
GRIPAP1	Gripap1
RARRES2	Rarres2
TRIM32	Trim32
SLC22A20P	Slc22a20
SAMD11	Samd11
MRPS2	Mrps2
MICAL1	Mical1
QTRT2	Qtrt2
POMGNT1	Pomgnt1
LYRM9	Lyrm9
ROR2	Ror2
PI4K2B	Pi4k2b
ZNF831	Zfp831
POLD1	Pold1
BRD9	Brd9
PLA2G1B	Pla2g1b
CCL15	Ccl6
CCL23	Ccl6
NUMB	Numb
PTGIS	Ptgis
CCL4	Ccl4
CCL4L1	Ccl4
CCL4L2	Ccl4
SLC22A8	Slc22a8
CCL5	Ccl5
CCL18	Ccl3
CCL3	Ccl3
CCL3L1	Ccl3
CCL3L3	Ccl3
GPNMB	Gpnmb
ANKRD65	Ankrd65
SECISBP2L	Secisbp2l
LRRC4C	Lrrc4c
EDAR	Edar
PHC1	Phc1
C1orf174	A430005L14Rik
DTNA	Dtna
C11orf52	2310030G06Rik
IL13RA1	Il13ra1
MEIOC	Meioc
CCL15	Ccl9
CCL23	Ccl9
TRAF7	Traf7
APPL2	Appl2
APC2	Apc2
TUBGCP6	Tubgcp6
SLCO1A2	Slco1a1
APPL1	Appl1
MESD	Mesd
NLRP6	Nlrp6
C1orf116	AA986860
GLIS3	Glis3
IQCK	Iqck
RNF180	Rnf180
G0S2	G0s2
AIMP1	Aimp1
CAPN13	Capn13
NDUFAF3	Ndufaf3
XYLT2	Xylt2
ELOVL2	Elovl2
ELMOD1	Elmod1
ZBTB24	Zbtb24
TMEM266	Tmem266
TMEM186	Tmem186
ZBTB8A	Zbtb8a
HS2ST1	Hs2st1
CABCOCO1	Cabcoco1
METTL27	Mettl27
MOGS	Mogs
LEAP2	Leap2
MCPH1	Mcph1
WFDC1	Wfdc1
EPSTI1	Epsti1
PARPBP	Parpbp
SLC26A1	Slc26a1
